mereka melakukannya!	mereka tidak !
Saya ingin dia berpikir seperti itu.	tapi apakah kamu serius?
itu polisi. sial!	Bagaimana itu bisa terjadi?
dimana uangnya ?	simpan di brankas!
ah yesus . . .	ayo kita berangkat nak.
Oke, kamu dapat satu.	kamu mengikuti mobilku.
Ya Tuhan, para sandera ini membuatku tetap hidup.	oke kapan saya dapatnya?
aku ingin semuanya.	saya ingin berbicara dengan leon.
Sial! Kita berhasil!	selamat tinggal sayang. doakan kami beruntung!
ini dokumenmu sonny.	ya kelihatannya resmi sekali.
Hei, ayo bersiap!	Sonny, ini dokumenmu.
apa yang sedang kamu coba tarik?	aku lupa dia ada di sini.
saya .	Buka ini!
TIDAK !	apakah pop sudah turun?
Jangan sekarang, Bu.	Apa yang akan kamu lakukan? Keluarlah.
Ya Tuhan, Ibu!	Aku bilang kamu tidak pernah menjadi seorang homo.
mengapa kamu melakukan ini ?	melakukan apa?
melakukan apa?	merampok bank.
berapa harganya ?	aku . aku
Pagi .	aku pagi. aku
Bagaimana dengan jari kakimu?	apa saja untuk bisa keluar dari tempat ini.
apa saja untuk bisa keluar dari tempat ini.	apakah itu sakit ?
apakah itu sakit ?	apa yang kau pikirkan, dasar bodoh?
apakah kamu mendapatkan keempatnya? aku	benar sekali.
dimana uangnya ?	aku tidak tahu .
Astaga! Astaga!	chi chi sudah pergi ke surga anjing jalang!
haruskah kamu menggunakan kata yang mengerikan itu?	vagina.
vagina.	hentikan itu .
hentikan itu .	vagina.
vagina.	Aku bilang hentikan.
tidak. apa masalahnya?	Sesuatu sedang terjadi. Sesuatu yang buruk.
Halo ?	aku harus pergi bekerja domino. aku
tidak terlalu .	...kalau begitu diam saja!
dimana domino?	dia naik ke kamarnya.
Kita dilindungi hukum dengan hak itu?	secara teori .
kamu baik.	bagus sekali.
ya punggungmu sudah kudapat.	abang saya .
abang saya .	abang saya .
saya tidak suka yang lainnya.	Coba lihat ini. Kau tahu sal s.
Coba lihat ini. Kau tahu sal s.	ya aku tahu bajingan itu.
apa kabar ?	aku jadi. aku hidup mewah.
aku jadi. aku hidup mewah.	apakah itu satu-satunya kaset yang kamu punya?
aku !	Ya ?
Jadi dengan kata lain Anda tidak terpuruk.	Saya setuju, tetapi untuk tujuan yang berharga.
Saya setuju, tetapi untuk tujuan yang berharga.	jade aku masih mencintaimu.
Dan ?	dan kami ingin beberapa orang kulit hitam naik.
dan kami ingin beberapa orang kulit hitam naik.	apakah kamu bertanya pada sal?
Jadi ?	Pernahkah Anda memperhatikan sesuatu tentang mereka?
Apa yang sudah kuceritakan padamu tentang kebisingan itu?	Apa yang sudah kuceritakan padamu tentang foto-foto itu?
Apa yang sudah kuceritakan padamu tentang foto-foto itu?	Apa-apaan ini! Kamu tuli?
kamu orangnya.	kamu orangnya.
kamu orangnya.	tidak, kamu orangnya.
mookie.	Apa ?
apa yang bisa kamu katakan ?	aku tidak tahu bagaimana dia melakukannya.
TIDAK !	TIDAK !
dimana kamu tidur ?	aku tidak .
aku tidak .	Saya harap blok itu masih berdiri.
Saya harap blok itu masih berdiri.	kami masih berdiri.
Selamat pagi .	apakah ini pagi yang baik?
saya berterima kasih.	Terima kasih kembali .
Dokter, ini walikota yang bicara.	oke . oke .
oke . oke .	dokter selalu berusaha melakukan hal yang benar.
dokter selalu berusaha melakukan hal yang benar.	Hanya itu saja ?
Hanya itu saja ?	Itu saja.
mookie.	harus pergi .
harus pergi .	c dokter belaka.
Berapa usiamu ?	sepuluh.
sepuluh.	apa yang membuat sammy berlari?
apa yang membuat sammy berlari?	nama saya eddie.
nama saya eddie.	apa yang membuat sammy berlari?
lima puluh sen.	Anda mendapat kesepakatan.
Dia hanya bersikap baik.	Bagus !
Bagus !	dia sepenuhnya tidak bersalah.
dia sepenuhnya tidak bersalah.	tidak bersalah !
tidak bersalah !	Aku tidak gagap. Kamu mendengarkanku.
aku akan mengantarmu keluar.	Sampai jumpa.
TIDAK .	yo aku pergi.
yo aku pergi.	Aku akan menemuimu di sana.
Cepatlah dan berpakaian.	aku datang.
aku datang.	aku akan pergi bersamamu.
kok kamu gak ada di sal s?	saya sedang bekerja.
giok.	aku di sini.
Bantu aku. Pergi bekerja.	nanti . harus dibayar.
bagaimana kabarmu dalam cuaca seperti ini?	aku akan melakukannya.
berapa banyak yang kamu sebutkan?	dua puluh ! bajingan ! dua puluh !
dua puluh ! bajingan ! dua puluh !	dasar bajingan.
dua puluh d duracell.	dua puluh c duracell.
dua puluh c duracell.	d tidak c.
bangun !	sialan! uangku!
kenapa kamu harus bicara tentang ibuku?	Tak ada yang membicarakan ibumu.
biarkan saja rusak.	apakah kamu bisa menggalinya?
penis manis willie	Itu namaku.
Itu namaku.	apakah saya harus mengejanya?
Sungguh memalukan.	apa ?
bajingan itu tidak mengatakan apa-apa.	lihat itu.
Dokter, ini Sal yang bicara.	oke . oke .
oke . oke .	dokter selalu berusaha melakukan hal yang benar.
dokter selalu berusaha melakukan hal yang benar.	Hanya itu saja ?
tidak. apa yang akan kamu lakukan?	hasilkan uang. dapatkan bayaran.
tikus ?	harus pergi .
harus pergi .	c dokter belaka.
simpanlah itu.	kamu menyimpannya.
kamu menyimpannya.	Natal datang lebih awal.
apakah kita sekarang?	Berhentilah omong kosong.
Berhentilah omong kosong.	kamu tidak tahu apa-apa tentang hal itu.
ayo sal.	kemana kita pergi ?
ya kamu kenal mereka?	tidak, hanya memeriksa.
sal bisakah kamu membantuku?	bergantung .
bergantung .	bisakah anda membayar saya sekarang?
bisakah anda membayar saya sekarang?	tidak bisa dilakukan.
tidak bisa dilakukan.	sal sekali ini saja lakukan itu padaku dengan mantap.
saya ingin dibayar sekarang.	malam ini saat kami tutup.
Bersikaplah seperti laki-laki. Jadilah seorang pria.	Nanti .
Tina, aku akan segera kembali.	jadilah seorang pria.
jadilah seorang pria.	aku laki laki .
kamu mau pergi kemana ?	untuk mendapatkan uang saya.
dingin sekali.	posisinya untuk menjadi dingin.
posisinya untuk menjadi dingin.	nanti untukmu.
nanti untukmu.	meda . meda .
meda . meda .	Apa ?
dan aku juga sangat ingin es krim.	saya bisa lari keluar dan mengambilnya.
Aku tidak bisa tinggal lama.	lalu berapa lama ?
lalu berapa lama ?	cukup lama bagi kita untuk melakukan hal yang buruk.
Kamu orang yang bodoh.	kalau begitu kita akan melakukan hal lainnya.
kalau begitu kita akan melakukan hal lainnya.	apa lagi ?
apa lagi ?	percayalah kepadaku .
Sial! Aku lupa.	Ingatanmu sungguh memburuk.
Ingatanmu sungguh memburuk.	saya baru saja lupa.
panas . panas .	kalau begitu masuklah.
Saya juga bekerja tapi saya masih meluangkan waktu.	Tina, apa yang kamu mau aku lakukan?
Kapan ?	sebelum aku pulang kerja.
Siapa pemain basket favoritmu?	sihir johnson .
pukul dia balik.	Apa ?
Apa ?	ingat apa yang aku katakan.
pino saya bekerja keras seperti semua orang di sini.	dia benar.
Aku akan melakukan itu.	kita keluar dari sini.
kamu suka dia ya?	Ya .
Itukah yang kamu pikirkan?	Itulah menurutku.
Itulah menurutku.	Saya tidak suka berkelahi.
saya mengerti .	aku mencintaimu saudaraku.
aku mencintaimu saudaraku.	aku cinta kamu hitam.
saya mendengarkan.	membenci !
aku tahu ini.	aku mencintaimu .
aku mencintaimu .	saya mendengarkan.
saya mendengarkan.	Bagus. Aku ingin kamu mendengarkan.
mookie baik-baik saja.	Kamu mendengarkan aku?
bagaimana kamu tahu hal ini?	Saya tahu .
Saya tahu .	kamu sungguh berpikir begitu?
persetan denganmu dan jangan telpon lagi.	lupakan saja mookie.
aku dan kamu akan bicara.	kata siapa?
kata siapa?	kata aku.
ambil sapu.	aku tak mendapatkan apa pun.
pop berhenti berbohong.	diamlah! jade, apa yang bisa aku bantu perbaiki?
maka kita bisa mencoba sesuatu yang lain.	kami tidak tahu apa pun lagi.
pop aku mau pilih mookie.	bagus pastikan dia tidak bergerak-gerak.
santai aja, pop.	jangan mulai padaku hari ini.
pop bertanya padamu.	Aku akan membunuh seseorang hari ini.
Ya Tuhan kamu baik-baik saja?	ya menurutku.
ya kami tutup. jadi pergilah.	sebenarnya kami punya sesuatu untuk Anda.
Oke .	oke apa?
Apa ?	yang akan datang .
Duduklah, aku punya sesuatu untuk kukatakan padamu.	saya baik-baik saja .
ooh menjijikkan.	apakah kamu mau minum sesuatu?
apakah kamu mau minum sesuatu?	ya tapi saya membeli.
Permisi ?	datang sekitar pukul tujuh.
datang sekitar pukul tujuh.	jam ?
jam ?	Ya . . .
Ya . . .	ketahuan.
Hai .	Yah, kuharap karpetnya cocok dengan gordennya.
Yah, kuharap karpetnya cocok dengan gordennya.	Permisi .
Permisi .	di perpustakaan baru sana.
namanya walter	baiklah la de da.
Ibu, kau tahu itu tidak akan pernah berhasil.	Kanan .
kamu akan baik-baik saja harry.	aku tahu aku adalah seorang ibu.
wow seperti marco polo.	saya tidak mengikuti.
saya tidak mengikuti.	kamu tahu ibu seperti di kolam renang.
itu menjijikkan.	Saya tahu .
maaf charlie.	Hei kamu mau pergi kemana?
Dia unik sekali.	coba satu diantara sejuta!
coba satu diantara sejuta!	baiklah apa yang harus kita lakukan?
yang di sebelah kiri .	sialan! apa kemungkinannya?
sialan! apa kemungkinannya?	Apa ?
Apa ?	itulah yang aku inginkan.
Kanan .	Oke. Kamu mau yang mana?
tapi ibuku memberiku peta itu.	Aku bawa semuanya keliling kota!
Aku bawa semuanya keliling kota!	saya membuat celana beruang kutub.
saya membuat celana beruang kutub.	tapi aku makan pai ibumu.
tapi aku makan pai ibumu.	aku . . . menemukan batu itu.
hei lihat. es krim.	kamu mikirin apa yang aku mikirin?
Hai ini Jessica.	Itu pasti mobil pacarnya.
Tidak apa-apa. Aku ingin terburu-buru.	tidak . lihat .
Kamu benar itu.	saya tidak .
saya tidak .	terlalu .
terlalu .	D .
ya itulah mengapa aku bertanya.	Anda tentu saja melakukannya.
Anda tentu saja melakukannya.	aku tahu aku melakukannya.
aku tahu aku melakukannya.	Maaf, tidak ada pertanyaan lebih lanjut.
george washington!	WHO ?
WHO ?	halo dia hanya menemukan uang!
sebuah rakit	sebuah balon udara.
sebuah balon udara.	kotoran
tidak. apa yang terjadi?	Tidak ada. Kenapa kau dengar?
tidak ada yang tahu ?	aku aku aku !
aku aku aku !	Jawabannya adalah george jefferson.
apakah kamu mendengar sesuatu kapten rob?	kapten rob kembali?
kapten rob kembali?	ya dia terdengar seperti orang yang suka mengomel.
Tetapi	harry !
kamu ingin aku mengelus kepalamu?	Aku yakin kamu ingin kepalamu digaruk.
Aku yakin kamu ingin kepalamu digaruk.	Aku yakin kamu ingin kepalamu digaruk.
Hai, kamu dari mana?	Hai, kamu dari mana?
kamu memiliki mata yang indah.	kamu memiliki mata yang indah.
Harry, bisakah kau mendengarku?	Ya .
Oh hai Lloyd kenapa kamu ada di sini?	hanya ingin melihat bagaimana kabarmu.
hanya ingin melihat bagaimana kabarmu.	Aku agak mengacaukan segalanya.
Aku agak mengacaukan segalanya.	Saya yakin Anda bereaksi berlebihan.
Saya yakin Anda bereaksi berlebihan.	saya kira tidak demikian .
Oh ya sobat, kamu akan mendapatkannya.	sedikit apa?
Tentu saja, dengan satu syarat.	kamu tidak dapat menikahi ibuku.
payah banget buat kamu.	siapa partnermu?
Tidak. Aku benar.	mau bertaruh?
Apa ?	bus khusus kami sendiri.
bus khusus kami sendiri.	bagaimana kamu tahu itu untuk kami?
aku tidak tahu itu.	selamat datang di sekolah umum temanku.
selamat datang di sekolah umum temanku.	Hei guru bagaimana kamu bisa begitu pintar?
TIDAK .	Oke. Ada lagi yang punya pertanyaan?
wah. apa itu tadi ?	Apa ?
Apa ?	Ibumu mendekatiku.
Ibumu mendekatiku.	dia tidak melakukannya.
diam !	Saya akan menghentikan mobil ini sekarang juga.
Saya akan menghentikan mobil ini sekarang juga.	Kamu bukan ayah kandungku.
Kamu bukan ayah kandungku.	Kamu tarik kembali ucapanmu itu!
siapa kapten rob?	hanya seorang cowok yang biasa nongkrong bareng aku.
ya kecelakaan mobil gokart.	tepat sekali! seorang bajak laut!
Suatu hari mereka akan menemukan obatnya.	Kamu prajurit pemberani.
.... tidak ada komentar:	r kedua diam.
r kedua diam.	Oh tentu .
siapa kepala sekolah collins?	kepala sekolah
kepala sekolah	Wow .
tidak tidak tidak tidak tidak.	mengapa tidak ?
Menurutku, itu hanya di sana.	Apakah itu yang saya pikirkan?
Apakah itu yang saya pikirkan?	tidak, ini peta harta karun.
tidak, ini peta harta karun.	Dingin .
Apa ?	Kamu benar itu.
Aku belum pernah melihatmu di sini sebelumnya.	sekolah di rumah. sampai hari ini.
sekolah di rumah. sampai hari ini.	sekolah di rumah? apa itu?
sekolah di rumah? apa itu?	aku bersekolah di tempat tinggalku.
aku bersekolah di tempat tinggalku.	saya juga !
jadi bolehkah aku ikut?	TIDAK .
turk apa yang kamu lakukan di sini?	kelas kebutuhan khusus.
kelas kebutuhan khusus.	Menjadi orang menyebalkan tidak membuatmu istimewa.
Menjadi orang menyebalkan tidak membuatmu istimewa.	kamu hanya cemburu.
Aku begitu dekat, aku bisa merasakannya.	aku juga. aku hampir sampai.
aku juga. aku hampir sampai.	Itu saja. Saya sudah selesai.
Jadi kapan kita bisa melakukannya?	besok malam?
Apa ?	kamu tahu beberapa hal tentang rokok.
apa yang kamu lakukan di sini ?	menengok temanku harry.
Ya saya lahir di St. Louis	kamu ingin aku mengelus kepalamu?
Kamu benar-benar seorang bajak laut.	dapatkah kamu mempercayainya ?
Oke .	apakah kita punya kesepakatan?
apakah kita punya kesepakatan?	ya, setuju. berikan aku dua dolarnya.
baiklah. berikan aku rambut boneka itu.	apa ya ?
apakah kamu punya apa yang aku inginkan?	kamu tahu aku melakukannya!
kamu tahu aku melakukannya!	Oh ya berikan padaku.
Hei kalian berdua. Matikan lampunya.	hei bisa di atas?
dia meninggal tiga tahun lalu.	Wah, dia melewatkan semangkuk besar sup!
saya kuat !	Ya, kamu memang .
oke aku akan menjaga jessica.	apakah kamu akan membunuhnya?
oh seperti presiden.	seperti presiden.
semuanya ?	Semuanya. Sekadar catatan.
tok tok .	siapa disana ?
siapa disana ?	tebak apa yang ada di bawah kelapa ini.
tebak apa yang ada di bawah kelapa ini.	Apa ?
Apa ?	itu suatu kejutan.
Dan . . . ?	dan ambil beberapa gambar lagi.
dan ambil beberapa gambar lagi.	wow kamu pintar.
wow kamu pintar.	dan kamu hebat di ranjang.
kali dua.	Saya pikir Anda akan menjadi guru yang baik.
kamu mengucapkan aloha dua kali.	aloha berarti halo dan selamat tinggal.
aloha berarti halo dan selamat tinggal.	Oh wow. Lihat kamu.
Ya Tuhan, aku merindukanmu.	dan aku kamu.
apa yang kamu katakan ?	Tidak ada apa-apa .
Terima kasihku .	dengan izin Anda...
Ya tuanku.	kita sendirian . . .
pada dasarnya . . .	tuan !
tuanku ?	biarkan dia bebas!
paulus ! ! paulus ! !	tidakkah kamu percaya pada matamu sendiri.
lepaskan penyumbat mulutnya!	bagus sekali !
selalu ?	selalu .
selalu .	mengapa mereka datang ?
Hidup para pejuang!	Hidup para pejuang!
air kehidupan.	racun paling mematikan di alam semesta.
kamu tidak boleh berbicara tentang...	kesunyian !
...banyak pria telah mencoba.	apakah mereka mencoba dan gagal?
apakah mereka mencoba dan gagal?	mereka mencoba dan mati.
apa yang bisa dilakukan sudah dilakukan.	Ibu! Katakan padaku!
itu terbakar.	diam . . . diam .
apa isi dalam kotak ?	nyeri .
mengatakan itu tempat yang lucu untuk tidur.	Itu rumahku.
dan potong...	eddie, apa kabar aku?
eddie, apa kabar aku?	sempurna .
Apa yang sedang kamu lakukan ?	aku sedang berpikir untuk bunuh diri.
aku sedang berpikir untuk bunuh diri.	Ya Tuhan, malam yang luar biasa. Apa yang terjadi?
mengapa kamu disini ? ?	sialan! bela ada apa dengan senjatanya ?
tahukah kamu aku menolak frankenstein?	Hah ?
Eddie, kamu mengacau.	Ya, aku melakukannya.
bela apakah kamu siap?	mmph ? dimana aku ?
selamat tinggal ! selamat tinggal !	Jadi, bagaimana kabar kita?
Jadi, bagaimana kabar kita?	kami tidak menghasilkan sepeser pun.
bela apa yang terjadi ?!	aku tidak merasa sehat...
aku tidak merasa sehat...	Biarkan aku membawamu ke rumah sakit.
ha ha! dokter.acula!	drakula ?
eh eddie kamu punya uangku ?	Hah?! Oh ya tentu saja.
kenapa kamu membeli peti mati?	karena saya berencana untuk segera meninggal.
karena saya berencana untuk segera meninggal.	Sungguh ?
tidak. saya tidak bekerja di sini.	Hah ?
Jadi coba tebak kemana saya akan pergi akhir pekan depan?	aku tidak tahu. dimana?
Kamu yang mana, yang merah?	Apa maksudmu ?
eh oke . . . putar kamera	bergulir.
bergulir.	suara !
tempatkan semua orang! putar kamera!	bergulir.
ini semacam aliran	Tidak! Itu harus di bawah air!
Saya sudah menebaknya.	saya tidak mengerti .
saya tidak mengerti .	aku mengarangnya. itu omong kosong!
Wow .	dan siapakah kamu?
dan siapakah kamu?	edward wood tuan.
apakah dia akan baik-baik saja?	kami akan melakukan yang terbaik.
aku akan pergi ke rumah ibuku	apakah dia punya tempat untukku?
tetapi masih banyak bagian lainnya.	seperti kamu apa kamu ?!
seperti kamu apa kamu ?!	sekretaris atau juru arsip.
aku tidak baik.	Itu hanya pendapat satu orang!
lemparkan kami ke pantat kami.	tepat .
ed siapa daniel davis?	seseorang aneh yang suka memakai gaun.
Itu membuatku nyaman.	oh persis seperti di naskah!
aduh! dan kau tak pernah memberitahuku?	ini caraku memberitahumu
siapa ? robert taylor ?! !	tidak! bintang film horor!
dolores berikan aku sepatumu.	Apa ?
Saya mengerti Anda baru saja pindah ke sini?	ya, hollywood memang sangat menarik.
dokter acula? saya tidak mengerti.	kamu dr.acula kamu!
tuan reynolds!	Ya ?
apakah itu bisa berhasil?	Benar sekali! Anda melihat naskah ini. . ?
hmm jadi Anda berkecimpung dalam bisnis gambar?	kamu bisa mengatakan itu
jadi tuan johnson	untuk !
senang Anda bisa memasukkan saya dalam jadwal Anda.	Dengan senang hati.
permisi tuan . . . ?	Ya ?
lugosi ?	ya! kamu suka kamu!
ya! kamu suka kamu!	bukankah dia sudah mati?
gambar kita?	uh ya. foto kita.
ed aku sangat bahagia untukmu.	ayo menikah.
ayo menikah.	Hah ?!
siapa dr.tom?	chiropractor saya!
bajingan itu.	Gadis malang itu kehilangan pekerjaannya.
apa itu tadi ?	bela meninggal.
berhenti !	berhenti !
tidak! aku suka seks dengan gadis.	Oh . Oke .
Oh . Oke .	Oke ?
Apa maksudmu ?	drakula.
Oh, itu kamu lagi.	Oh hai.
Oh hai.	Kamu terlihat kelelahan.
Kamu terlihat kelelahan.	saya . apa kabar ayahmu ?
Halo .	halo. kamu tidur dengan mengenakan tuksedo.
halo. kamu tidur dengan mengenakan tuksedo.	saya menikah tadi malam.
saya menikah tadi malam.	Oh. Selamat.
Oh. Selamat.	pernikahannya sudah berakhir.
pernikahannya sudah berakhir.	Oh.. turut berduka cita.
u itu luar biasa u.	apa yang aneh ?
apa yang aneh ?	lihatlah tengkoraknya!
kamu yakin ini akan berhasil?	Ya !
Ya !	Kamu yakin kan? ? ?
Kamu yakin kan? ? ?	ya ! lakukan saja !
Saya pikir ini usaha kelompok.	tidakkkkk ! ! !
Ah ayolah! Tidak ada seorang pun yang melakukan semua itu.	dua orang melakukannya. orson welles dan saya.
dua orang melakukannya. orson welles dan saya.	Wow .
Wow .	kamu tahu kamu seorang gadis yang sangat menarik.
aku akan pindah.	Apa ? !
kamu pikir itu aku?	Ya !
Bagaimana kabar ibumu?	al !
al !	tetangga kami memberiku tumpangan.
tetangga kami memberiku tumpangan.	semua !!
semua !!	Dimana dia? Apakah dia baik-baik saja?
apa kamu mencintainya atau bagaimana?	Ayo . . .
Ya. Aku membawakanmu beberapa film.	ada yang bagus ?
Bagaimana jika Anda muntah?	Bagaimana jika saya muntah?
Bagaimana jika saya muntah?	apakah mereka menunjukkannya?
ooh adiknya! dia seksi sekali.	kamu tahu itu .
menurutmu dia benar-benar menyukainya?	dia tidak peduli tentang dia.
dia tidak peduli tentang dia.	tahukah kamu apa yang hebatnya?
tahukah kamu apa yang hebatnya?	Apa ?
apakah kamu melihatnya ?	Apa ?
Kamu gila.	oke aku gila.
garis yang bagus.	bagaimana jika shari adalah mimpinya?
bagaimana jika shari adalah mimpinya?	ed kamu mau saran saya?
ed bisakah aku bertemu denganmu sebentar.	Permisi .
Dingin .	aku ingin kamu mengambil ini.
Dialah orang yang ingin kita ajak pergi.	orang ini.
Aku pikir, kukira dia sudah mati.	WHO ?
WHO ?	al !
Kanan .	jadi dia bunuh diri.
jadi dia bunuh diri.	Oh .
tidak! jangan oh wow.	Apa ?
kamu tahu siapa kami?	Beri tahu saya .
kamu mengatakan itu.	kita tertinggal.
Apa ?	Dokter bilang kamu sedang berhubungan seks.
Ya Tuhan! Di TV!	mengapa? bagaimana...
Apa yang terjadi ?	Itu mengerikan. Dia meneleponku.
Itu mengerikan. Dia meneleponku.	WHO ?
...kalau ...	Mama ?
Mama ?	saya di rumah sakit.
saya di rumah sakit.	ada apa ?!
Ya Tuhan. Rumah sakit mana?	st. yoseph s.
dan untuk apa dia kembali sekarang?	WHO ?
Dia bisa saja menjadi seorang perawat.	bisa jadi seorang perawat?
bisa jadi seorang perawat?	dia memiliki sepatu putih.
dia punya pacar!	dia bilang
Ya .	ya untuk saya atau ya untuk kumparan?
ya untuk saya atau ya untuk kumparan?	keduanya .
keduanya .	suci sekali
ya Tuhan !	Maksudku itu berhasil.
Maksudku itu berhasil.	ya ampun !!
hei dia selingkuh.	dia membuat kesalahan.
Apa itu ?	Ya ?
Ya ?	apakah orang-orang tv bersama anda?
apakah orang-orang tv bersama anda?	Ya. Juru kamera ada di sini.
Ya. Juru kamera ada di sini.	Usir dia pergi.
dia tidak akan.	apa yang sedang kamu bicarakan ?
hai. apakah shari ada di sini?	TIDAK .
TIDAK .	apa yang sedang dia kerjakan ?
apa yang sedang dia kerjakan ?	dia pergi.
dia pergi.	baik kapan dia akan kembali?
hai ibu.	shari ray merasa
Mereka akan mengejek kelemahan kita.	apa kita?
apa kita?	kelemahan kita, kelemahan kita!
berapa kurang ?	tidak akan pernah cukup.
apakah kamu bertanya padaku?	tidak, maksudku...
Hai Lou.	selamat datang di kantor ed.
ini benar-benar masuk ke pantatmu.	Ayo .
itu bukan salah mereka.	tidak. itu salahmu.
saya perlu bicara.	apakah kamu baik-baik saja ?
Oke .	Ayo . . .
saya minta maaf .	Ayolah, kita pergi.
Ayolah, kita pergi.	Di mana ?
Di mana ?	di suatu tempat.
halaman tiga postingan.	ohh . . .
ada daftarnya.	Sungguh ?
Sungguh ?	tahu ?
shari . . .	semua orang membenciku!
semua orang membenciku!	tidak. siapa?
tidak. siapa?	Lihat ini .
aku tahu aku . . .	shari aku sungguh menyukaimu . . .
shari aku sungguh menyukaimu . . .	aku juga sangat menyukaimu . .
. . . . kalau begitu, tapi . . .	Jadi . . . ?
ehm ...	Apa ?
Mengapa ?	dia bisa memberiku oksigen.
Itu beruntung.	sabtu menurutku kita harus
Apa yang sedang kamu lakukan ?	aku merindukanmu .
Sungguh ?	Ya Tuhan ini sangat aneh.
Ya Tuhan.	tidak apa-apa
tidak apa-apa	aku mencium saudara laki-laki pacarku di televisi!
aku mencium saudara laki-laki pacarku di televisi!	baiklah, jika Anda mengatakannya seperti itu.
baiklah, jika Anda mengatakannya seperti itu.	pergi . pergi .
pergi . pergi .	tidak bisakah kita hanya
tidak bisakah kita hanya	pergi !
Sungguh ?	Ya .
Haduh!	Oke . . .
tapi kamu terlihat hebat.	Kanan .
dinamit.	Jadi ?
Jadi ?	jadi mungkin ini dinamit saya.
jadi mungkin ini dinamit saya.	dinamit itu berbahaya.
Ya . . .	Saya dengar anjing itu sangat menyukainya.
tebing meninggalkannya berkat dirimu.	Saya ? !
selamat tinggal saudara!	sinar datang
. . . sinar ?	Ya .
Saya tahu .	lihat kita harus bicara.
lihat kita harus bicara.	simpan itu .
mengapa aku ?	kamu bawa kamera kesini!
kamu bawa kamera kesini!	kamu membawa gadis itu!
kamu membawa gadis itu!	Tolong !
siapa ini ?	itu aku.
sinar	dia seorang pecandu alkohol demi Tuhan.
dia seorang pecandu alkohol demi Tuhan.	Ya Tuhan.
Baiklah .	Ya ? !
Ya ? !	Ya .
kenapa kamu melakukan hal itu ?	Apa ?
apa ? !	bisnis pertunjukan.
bisnis pertunjukan.	Anda dalam bisnis pertunjukan?
Anda dalam bisnis pertunjukan?	ya. saya menyervis peralatan video.
saya sedang membuat rekaman.	kami bersemangat.
apa kabar ?	dimana kamu ?
tidak, simpan saja.	aku cinta kamu! ingin menikahimu!
hai shari.	siapa shari?
siapa shari?	siapakah
Apa . . .	kapal bajak laut.
aku di penjara.	sepanjang waktu? delapan belas tahun?
sepanjang waktu? delapan belas tahun?	tidak. dua kali.
tidak. dua kali.	Apa . . .
siapa ini ?	itu sudah diedit.
kamu tidak mengenali saya.	tidak. apakah aku seharusnya melakukannya?
Halo .	Hai .
ohhh . . .	tahu ?
Ukuran	Bagus ?
Bagus ?	Ukuran
apakah kamu sibuk besok malam?	TIDAK .
Oh ! !	Kita harus berhenti bertemu seperti ini.
Kita harus berhenti bertemu seperti ini.	hm ?
Hai .	Hai .
Gadis itu idiot.	apa? . . mengapa?
itulah intinya ini bisa mengubah banyak hal.	Bagaimana ?
ya. tidak. maksudku kamu tahu.	Apa ?
ya hanya saja	lakukanlah !
Jim, jangan. Kamu membuatnya takut.	dia menyukainya.
ada yang salah ?	semuanya baik-baik saja. hanya saja kamu tahu sekolah.
punya masalah dengan mata anda disana?	kontol .
kontol . . . kontol . .	Apa ?
larry ?	Ya ?
Ya ?	Saya pikir kita punya masalah.
Oke. Ya. Kami tahu	Baiklah. Aku akan kembali
kamu akan baik-baik saja.	saya harap begitu
saya harap begitu	kamu akan .
sungguh mengejutkan.	ambil ruang sebanyak yang kamu mau
apa ini ?	rumah saya .
jadi tracy?	Ya ?
Ya ?	mengapa kamu melakukan ini ?
mengapa kamu melakukan ini ?	melakukan apa?
menanganinya dengan cukup baik, menurutmu tidak?	Ya .
Jadi apa yang membawamu ke sini?	Saya sedang melihat mobil baru.
halo tuan m.	halo tracy.
Ya ?	sepertinya hari ini adalah hari keberuntunganmu
terima kasih untuk semuanya.	Anda bertaruh.
kelihatannya bagus menurutku.	bukankah kamu seharusnya menyimpannya?
bukankah kamu seharusnya menyimpannya?	tidak, itu baik-baik saja
tidak, itu baik-baik saja	Saya pikir kamu seharusnya menyimpannya.
Saya pikir kamu seharusnya menyimpannya.	oke baiklah. tentu
Hei, itu luar biasa	Ini dia.
Saya tahu .	tracy .
Baiklah, semoga beruntung di sana, Tracy	terima kasih tuan m.
eh jim?	Hmm ?
Hmm ?	Walt perlu menemuimu.
Walt perlu menemuimu.	Oh . Oke .
aku berhasil melakukannya.	dan kapan anda melakukannya?
dan kapan anda melakukannya?	akhir pekan ini .
akhir pekan ini .	tepatnya kapan?
tepatnya kapan?	saya tidak tahu. kemarin. minggu.
saya tidak tahu. kemarin. minggu.	dan bagaimana kamu bisa masuk sekolah itu?
dan bagaimana kamu bisa masuk sekolah itu?	pintunya terbuka.
pintunya terbuka.	pintu yang mana ?
aku tidak percaya kamu.	saya punya bukti.
Oke. Tapi apakah ini tentang poster?	mungkin. silakan menunggu di luar saja.
apa yang kamu inginkan jim?	kamu disana .
kamu disana .	ya. aku di sini.
ya. aku di sini.	sherry...aku cinta kamu.
sebuah kesalahan? itu bukan kesalahan.	aku kesepian. kamu memanfaatkannya
tiga dua puluh lima.	tiga dua puluh lima.
sepanjang hidupnya. dia mencoba segalanya.	masih jelas?
masih jelas?	benar sekali.
benar sekali.	kita akan membiarkannya berjalan beberapa saat
